episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1105,60.81565575819663,61.67422548994446,48.29054967454462,49.011668808101966,0.8585697317478349,0.7211191335573446,1.1906073376703157,0.008585697317478349,0.007211191335573446,0.007898444326525898,12.662556681842496,329,251,604,501,25,18,928.3259423907054,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414,329,251,604,501,25,18,928.3259423907054,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414,329,251,604,501,304,25,0,275,233,18,0,250,0.5033112582781457,0.46506986027944114,0.9240121580547113,0.9282868525896414,0.5250431778929189,0.4824016563146998,329,251,928.3259423907054,100.0,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414
2,0.0,99.5,1115,60.81565575819663,61.45536818557487,48.29054967454462,48.8835781055755,0.6397124273782424,0.5930284310308807,1.0787213460680283,0.003198562136891212,0.0029651421551544033,0.003081852146022808,12.571790079999367,266,226,605,510,26,14,846.7459372059939,0.4396694214876033,0.44313725490196076,0.9022556390977443,0.9380530973451328,595,477,1209,1011,51,32,1775.0718795966993,0.4921422663358147,0.47181008902077154,0.9142857142857143,0.9329140461215932,266,226,605,510,240,26,0,339,212,14,0,284,0.39669421487603307,0.41568627450980394,0.9022556390977443,0.9380530973451328,0.41450777202072536,0.4274193548387097,266,226,846.7459372059939,200.0,0.4921422663358147,0.47181008902077154,0.9142857142857143,0.9329140461215932
3,0.0,99.5,1082,60.81565575819663,61.37040409933731,48.29054967454462,48.84257109003945,0.5547483411406802,0.5520214154948277,1.0049398910428284,0.0018491611371356006,0.0018400713849827592,0.0018446162610591798,12.527833009297858,218,199,586,496,15,18,695.122445105688,0.3720136518771331,0.4012096774193548,0.9311926605504587,0.9095477386934674,813,676,1795,1507,66,50,2470.1943247023873,0.452924791086351,0.4485733244857332,0.9188191881918819,0.9260355029585798,218,199,586,496,203,15,0,368,181,18,0,297,0.3464163822525597,0.3649193548387097,0.9311926605504587,0.9095477386934674,0.3555166374781086,0.3786610878661088,218,199,695.122445105688,300.0,0.452924791086351,0.4485733244857332,0.9188191881918819,0.9260355029585798
4,0.0,99.5,1108,60.81565575819663,61.465442670906484,48.29054967454462,48.705044989801785,0.6497869127098568,0.4144953152571631,1.5676580380811131,0.001624467281774642,0.0010362382881429078,0.001330352784958775,12.760397681104699,234,201,603,505,26,16,668.0824693564389,0.3880597014925373,0.39801980198019804,0.8888888888888888,0.9203980099502488,1047,877,2398,2012,92,66,3138.2767940588265,0.43661384487072563,0.43588469184890655,0.9121298949379179,0.9247434435575826,234,201,603,505,208,26,0,369,185,16,0,304,0.3449419568822554,0.36633663366336633,0.8888888888888888,0.9203980099502488,0.36048526863084923,0.3783231083844581,234,201,668.0824693564389,400.0,0.43661384487072563,0.43588469184890655,0.9121298949379179,0.9247434435575826
5,0.0,99.5,1052,60.81565575819663,61.44555637706564,48.29054967454462,48.753373021390345,0.6299006188690157,0.4628233468457239,1.3609957733592573,0.0012598012377380314,0.0009256466936914478,0.0010927239657147396,12.692183355675297,217,170,606,446,13,11,610.4955402236244,0.3580858085808581,0.3811659192825112,0.9400921658986175,0.9352941176470588,1264,1047,3004,2458,105,77,3748.772334282451,0.4207723035952064,0.4259560618388934,0.9169303797468354,0.9264565425023877,217,170,606,446,204,13,0,389,159,11,0,276,0.33663366336633666,0.35650224215246634,0.9400921658986175,0.9352941176470588,0.3440134907251265,0.36551724137931035,217,170,610.4955402236244,500.0,0.4207723035952064,0.4259560618388934,0.9169303797468354,0.9264565425023877
6,0.0,99.5,1136,60.81565575819663,61.55100005937808,48.29054967454462,48.77076899972407,0.7353443011814562,0.48021932517944776,1.5312676159100296,0.001225573835302427,0.0008003655419657463,0.0010129696886340867,12.780231059654014,274,201,655,481,21,18,756.7764608629187,0.4183206106870229,0.4178794178794179,0.9233576642335767,0.9104477611940298,1538,1248,3659,2939,126,95,4505.54879514537,0.42033342443290517,0.42463422932970396,0.918075422626788,0.9238782051282052,274,201,655,481,253,21,0,381,183,18,0,280,0.38625954198473283,0.3804573804573805,0.9233576642335767,0.9104477611940298,0.3990536277602524,0.3952483801295896,274,201,756.7764608629187,600.0,0.42033342443290517,0.42463422932970396,0.918075422626788,0.9238782051282052
7,0.0,99.5,1063,60.81565575819663,61.43193662017219,48.29054967454462,48.83299146385006,0.6162808619755609,0.5424417893054354,1.1361234958771742,0.0008804012313936584,0.0007749168418649077,0.0008276590366292831,12.59894515632213,230,224,572,491,17,19,685.4857344643501,0.4020979020979021,0.45621181262729127,0.9260869565217391,0.9151785714285714,1768,1472,4231,3430,143,114,5191.03452960972,0.41786811628456627,0.4291545189504373,0.9191176470588235,0.9225543478260869,230,224,572,491,213,17,0,342,205,19,0,267,0.3723776223776224,0.4175152749490835,0.9260869565217391,0.9151785714285714,0.3837837837837838,0.4343220338983051,230,224,685.4857344643501,700.0,0.41786811628456627,0.4291545189504373,0.9191176470588235,0.9225543478260869
8,0.0,99.5,1095,60.81565575819663,61.47419204621323,48.29054967454462,48.904275886752174,0.6585362880166059,0.6137262122075526,1.0730131366686668,0.0008231703600207574,0.0007671577652594408,0.0007951640626400991,12.569916159461059,249,217,598,497,20,19,726.0877253622615,0.41638795986622074,0.43661971830985913,0.9196787148594378,0.9124423963133641,2017,1689,4829,3927,163,133,5917.122254971981,0.4176848208738869,0.43009931245225363,0.9191869112543382,0.9212551805802249,249,217,598,497,229,20,0,349,198,19,0,280,0.38294314381270905,0.3983903420523139,0.9196787148594378,0.9124423963133641,0.3961937716262976,0.41422594142259417,249,217,726.0877253622615,800.0,0.4176848208738869,0.43009931245225363,0.9191869112543382,0.9212551805802249
9,0.0,99.5,1128,60.81565575819663,61.521698991591926,48.29054967454462,48.874451128704486,0.7060432333952988,0.5839014541598644,1.2091821802553582,0.0007844924815503321,0.0006487793935109604,0.0007166359375306462,12.64724786288744,243,249,615,513,22,17,774.5453450792952,0.3951219512195122,0.4853801169590643,0.9094650205761317,0.9317269076305221,2260,1938,5444,4440,185,150,6691.667600051276,0.4151359294636297,0.43648648648648647,0.918141592920354,0.9226006191950464,243,249,615,513,221,22,0,372,232,17,0,264,0.359349593495935,0.4522417153996101,0.9094650205761317,0.9317269076305221,0.37268128161888703,0.46774193548387094,243,249,774.5453450792952,900.0,0.4151359294636297,0.43648648648648647,0.918141592920354,0.9226006191950464
10,0.0,99.5,1156,60.81565575819663,61.566164873829734,48.29054967454462,48.89327481329016,0.7505091156331076,0.6027251387455408,1.245192986632599,0.0007505091156331076,0.0006027251387455408,0.0006766171271893242,12.672890060539572,298,230,656,500,27,21,825.4124803468998,0.45426829268292684,0.46,0.9093959731543624,0.908695652173913,2558,2168,6100,4940,212,171,7517.080080398176,0.419344262295082,0.4388663967611336,0.9171227521501173,0.9211254612546126,298,230,656,500,271,27,0,358,209,21,0,270,0.41310975609756095,0.418,0.9093959731543624,0.908695652173913,0.43084260731319557,0.4363256784968685,298,230,825.4124803468998,1000.0,0.419344262295082,0.4388663967611336,0.9171227521501173,0.9211254612546126
